标题,发布日期,抓取日期,机构,研究员,分析结果,URL
瑞丰新材(300910)：毛利率稳中有升 复合剂认证持续突破行,2024-03-27,2026-08-19,山西证券股份有限公司,李旋坤/程俊杰,"{""归母净利润(亿元)"": {""2024"": 7.01, ""2025"": 8.79, ""2026"": 9.67}, ""PE(倍)"": {""2024"": 15.1, ""2025"": 12.0, ""2026"": 10.9}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/764869617969/index.phtml
瑞丰新材(300910)：润滑油添加剂新星崛起 国产替代加速产能扩张,2024-02-22,2026-08-19,华安证券股份有限公司,王强峰,"{""营业收入(亿元)"": {""2023"": 34.0, ""2024"": 43.6, ""2025"": 61.8}, ""归母净利润(亿元)"": {""2023"": 6.3, ""2024"": 8.1, ""2025"": 10.6}, ""PE(X)"": {""2023"": 20.0, ""2024"": 15.0, ""2025"": 12.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/761893573852/index.phtml
瑞丰新材(300910)：润滑油添加剂国内龙头 与四大同台竞技,2023-12-24,2026-08-19,华福证券股份有限公司,张汪强/韩锐贻,"{""营业收入(亿元)"": {""2023"": 28.62, ""2024"": 33.26, ""2025"": 40.51}, ""归母净利润(亿元)"": {""2023"": 6.0, ""2024"": 8.25, ""2025"": 9.94}, ""EPS(元)"": {""2023"": 2.08, ""2024"": 2.86, ""2025"": 3.45}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/756709452639/index.phtml
瑞丰新材(300910)：11月出口环比小幅增加 润滑油价格平稳运行,2023-12-22,2026-08-19,山西证券股份有限公司,李旋坤/程俊杰,"{""归母净利润(亿元)"": {""2023"": 6.28, ""2024"": 7.61, ""2025"": 8.77}, ""PE(倍)"": {""2023"": 23.6, ""2024"": 19.4, ""2025"": 16.9}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/756581816685/index.phtml
瑞丰新材(300910)：10月出口环比略降 不改长期成长趋势,2023-11-21,2026-08-19,国泰海通证券股份有限公司,钟浩/沈唯,"{""EPS(元)"": {""2024"": 2.99, ""2025"": 3.65}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/753920213661/index.phtml
瑞丰新材(300910)季报点评：三季度盈利能力环比提升 产...,2023-11-05,2026-08-19,中原证券股份有限公司,顾敏豪/石临源,"{""营业收入(亿元)"": {""2023"": 31.51, ""2024"": 39.09, ""2025"": 48.56}, ""净利润(亿元)"": {""2023"": 6.68, ""2024"": 7.91, ""2025"": 9.54}, ""EPS(元)"": {""2023"": 2.32, ""2024"": 2.74, ""2025"": 3.31}, ""PE(倍)"": {""2023"": 19.54, ""2024"": 16.5, ""2025"": 13.69}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/752493647791/index.phtml
瑞丰新材(300910)：出口环比持续改善 23Q3符合预期,2023-10-27,2026-08-19,山西证券股份有限公司,程俊杰,"{""归母净利润(亿元)"": {""2023"": 6.28, ""2024"": 7.61, ""2025"": 8.77}, ""PE(倍)"": {""2023"": 17.6, ""2024"": 14.5, ""2025"": 12.6}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/751727962064/index.phtml
瑞丰新材(300910)：Q3业绩环比改善 持续向复合剂转型,2023-10-27,2026-08-19,长江证券股份有限公司,马太/叶家宏,"{""归母净利润(亿元)"": {""2023"": 6.9, ""2024"": 9.5, ""2025"": 12.6}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/751719041029/index.phtml
瑞丰新材(300910)：业绩符合预期 库存端扰动逐步消退 ...,2023-10-24,2026-08-19,上海申银万国证券研究所有限公司,宋涛,"{""归母净利润(亿元)"": {""2023"": 6.94, ""2024"": 10.18}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/751489219448/index.phtml
瑞丰新材(300910)2023年三季报点评：Q3环比增长符...,2023-10-24,2026-08-19,国泰海通证券股份有限公司,钟浩/沈唯,"{""EPS(元)"": {""2023"": 2.41, ""2024"": 2.99, ""2025"": 3.65}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/751482175122/index.phtml
瑞丰新材(300910)：三季度业绩环比进一步增长 扩产抢占...,2023-10-24,2026-08-19,招商证券股份有限公司,周铮/曹承安,"{""归母净利润(亿元)"": {""2023"": 6.71, ""2024"": 8.75, ""2025"": 11.16}, ""EPS(元)"": {""2023"": 2.33, ""2024"": 3.04, ""2025"": 3.87}, ""PE(倍)"": {""2023"": 16.3, ""2024"": 12.5, ""2025"": 9.8}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/751473708484/index.phtml
瑞丰新材(300910)：8月出口环比改善 润滑油涨价潮开启,2023-09-22,2026-08-19,国泰海通证券股份有限公司,钟浩/李旋坤,"{""EPS(元)"": {""2023"": 2.58, ""2024"": 3.28, ""2025"": 3.95}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/748696613541/index.phtml
瑞丰新材(300910)公司点评报告：上半年业绩亮眼 未来成...,2023-09-14,2026-08-19,中原证券股份有限公司,顾敏豪/石临源,"{""营业收入(亿元)"": {""2023"": 41.54, ""2024"": 51.63, ""2025"": 64.22}, ""净利润(亿元)"": {""2023"": 7.56, ""2024"": 9.44, ""2025"": 11.89}, ""EPS(元)"": {""2023"": 2.62, ""2024"": 3.28, ""2025"": 4.13}, ""PE(倍)"": {""2023"": 19.3, ""2024"": 15.45, ""2025"": 12.27}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/748023332538/index.phtml
瑞丰新材(300910)：Q2业绩环比提升 持续向复合剂转型,2023-08-25,2026-08-19,长江证券股份有限公司,马太/叶家宏,"{""归母净利润(亿元)"": {""2023"": 7.4, ""2024"": 10.3, ""2025"": 13.3}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/746308913849/index.phtml
瑞丰新材(300910)：出口向好趋势持续 认证完善利好拓展,2023-08-24,2026-08-19,国泰海通证券股份有限公司,钟浩/李旋坤,"{""EPS(元)"": {""2023"": 2.58, ""2024"": 3.28, ""2025"": 3.95}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/746228420776/index.phtml
瑞丰新材(300910)点评：业绩符合预期 复合助剂销量快速...,2023-08-24,2026-08-19,上海申银万国证券研究所有限公司,宋涛,"{""归母净利润(亿元)"": {""2023"": 6.94, ""2024"": 10.18, ""2025"": 15.75}, ""PE(X)"": {""2023"": 20.0, ""2024"": 13.0, ""2025"": 9.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/746211988971/index.phtml
瑞丰新材(300910)：业绩符合预期 看好下半年复合剂放量,2023-08-24,2026-08-19,广发证券股份有限公司,邓先河/吴鑫然/郭齐坤,"{""归母净利润(亿元)"": {""2023"": 8.03, ""2024"": 10.91}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/746187421184/index.phtml
瑞丰新材(300910)：二季度业绩环比大幅增长 新产能陆续...,2023-08-24,2026-08-19,招商证券股份有限公司,周铮/曹承安,"{""归母净利润(亿元)"": {""2023"": 8.09, ""2024"": 10.07, ""2025"": 12.86}, ""EPS(元)"": {""2023"": 2.81, ""2024"": 3.49, ""2025"": 4.46}, ""PE(倍)"": {""2023"": 17.0, ""2024"": 14.0, ""2025"": 11.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/746184886772/index.phtml
瑞丰新材(300910)：短期业绩因客户去库承压 长期持续看...,2023-04-29,2026-08-19,长江证券股份有限公司,马太/叶家宏,"{""归母净利润(亿元)"": {""2023"": 8.4, ""2024"": 12.9, ""2025"": 16.8}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/736075431775/index.phtml
瑞丰新材(300910)：业绩低于预期 Q1下游去库叠加假期...,2023-04-24,2026-08-19,上海申银万国证券研究所有限公司,宋涛,"{""归母净利润(亿元)"": {""2023"": 9.5, ""2024"": 14.8}, ""PE(X)"": {""2023"": 14.0, ""2024"": 9.0, ""2025"": 7.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/735653547606/index.phtml
瑞丰新材(300910)：23Q1业绩低于预期 看好长期成长,2023-04-24,2026-08-19,广发证券股份有限公司,邓先河/吴鑫然,"{""归母净利润(亿元)"": {""2023"": 9.53, ""2024"": 14.34}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/735635938284/index.phtml
瑞丰新材(300910)：深耕国际市场 收入业绩续创新高,2023-04-13,2026-08-19,长江证券股份有限公司,马太/叶家宏,"{""归母净利润(亿元)"": {""2023"": 9.2, ""2024"": 14.1, ""2025"": 18.3}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/734724488324/index.phtml
瑞丰新材(300910)点评：业绩符合预期 新增产能释放加速...,2023-04-10,2026-08-19,上海申银万国证券研究所有限公司,宋涛,"{""归母净利润(亿元)"": {""2023"": 11.69, ""2024"": 15.94}, ""PE(X)"": {""2023"": 15.0, ""2024"": 11.0, ""2025"": 9.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/734448427430/index.phtml
瑞丰新材(300910)：22年业绩高增 Q4利润持续创新高,2023-04-10,2026-08-19,广发证券股份有限公司,邓先河/吴鑫然/郭齐坤,"{""归母净利润(亿元)"": {""2023"": 10.12, ""2024"": 14.35}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/734423920689/index.phtml
瑞丰新材(300910)：全年业绩保持高增长 加速抢占全球市场份额,2023-04-07,2026-08-19,招商证券股份有限公司,周铮/曹承安,"{""归母净利润(亿元)"": {""2023"": 10.48, ""2024"": 14.42, ""2025"": 18.43}, ""EPS(元)"": {""2023"": 6.99, ""2024"": 9.61, ""2025"": 12.28}, ""PE(倍)"": {""2023"": 15.5, ""2024"": 11.3, ""2025"": 8.8}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/734192872454/index.phtml
瑞丰新材(300910)：海外扩张超预期 22Q4再创历史新高,2023-04-07,2026-08-19,国泰海通证券股份有限公司,钟浩/李旋坤,"{""EPS(元)"": {""2022"": 6.87, ""2023"": 8.92}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/734169743492/index.phtml
瑞丰新材(300910)：四季度业绩持续超预期 长期逻辑逐步兑现,2023-01-19,2026-08-19,广发证券股份有限公司,邓先河/吴鑫然/郭齐坤,"{""归母净利润(亿元)"": {""2022"": 5.73, ""2023"": 10.08, ""2024"": 14.36}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/727477295737/index.phtml
瑞丰新材(300910)：国内润滑油添加剂龙头 战略转型助力...,2023-01-12,2026-08-19,海通证券股份有限公司,刘威/张翠翠,"{""归母净利润(亿元)"": {""2022"": 5.71, ""2023"": 9.22, ""2024"": 13.26}, ""EPS(元)"": {""2022"": 3.81, ""2023"": 6.14, ""2024"": 8.84}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/726832331664/index.phtml
瑞丰新材(300910)：业绩符合预期 四季度运输受阻拖累公...,2023-01-11,2026-08-19,上海申银万国证券研究所有限公司,宋涛,"{""归母净利润(亿元)"": {""2023"": 11.69, ""2024"": 15.94}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/726768690894/index.phtml
瑞丰新材(300910)：Q4业绩保持高水平 销售快速增长,2023-01-10,2026-08-19,国投证券股份有限公司,张汪强/乔璐,"{""净利润(亿元)"": {""2022"": 5.9, ""2023"": 10.2, ""2024"": 14.1}, ""PE(倍)"": {""2022"": 36.0, ""2023"": 21.0, ""2024"": 15.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/726685434898/index.phtml
瑞丰新材(300910)：四季度业绩继续高增长 未来成长空间大,2023-01-10,2026-08-19,招商证券股份有限公司,周铮/曹承安,"{""归母净利润(亿元)"": {""2022"": 5.82, ""2023"": 10.45, ""2024"": 14.54}, ""EPS(元)"": {""2022"": 3.88, ""2023"": 6.97, ""2024"": 9.69}, ""PE(倍)"": {""2022"": 36.0, ""2023"": 20.0, ""2024"": 15.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/726665056283/index.phtml
瑞丰新材(300910)：单季度业绩超预期 复合剂转型效果显著,2023-01-10,2026-08-19,国泰海通证券股份有限公司,钟浩/李旋坤,"{""EPS(元)"": {""2022"": 3.89, ""2023"": 6.84, ""2024"": 9.8}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/726642256168/index.phtml
瑞丰新材(300910)：国内润滑油添加剂龙头企业 把握全球...,2022-11-10,2026-08-19,上海申银万国证券研究所有限公司,宋涛,"{""归母净利润(亿元)"": {""2022"": 6.55, ""2023"": 11.69, ""2024"": 15.94}, ""PE(倍)"": {""2022"": 35.0, ""2023"": 20.0, ""2024"": 14.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/721371777166/index.phtml
瑞丰新材(300910)：46万吨新建项目助力 阔步迈入全球头部梯队,2022-10-24,2026-08-19,广发证券股份有限公司,邓先河/吴鑫然/郭齐坤,"{""归母净利润(亿元)"": {""2022"": 6.04, ""2023"": 9.91, ""2024"": 14.05}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/719950706863/index.phtml
瑞丰新材(300910)：拟新建润滑油添加剂项目 大幅提升未...,2022-10-24,2026-08-19,招商证券股份有限公司,周铮/曹承安,"{""归母净利润(亿元)"": {""2022"": 6.01, ""2023"": 10.42, ""2024"": 14.86}, ""EPS(元)"": {""2022"": 4.0, ""2023"": 6.95, ""2024"": 9.9}, ""PE(倍)"": {""2022"": 40.0, ""2023"": 23.0, ""2024"": 16.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/719909630943/index.phtml
瑞丰新材(300910)：国内润滑油添加剂龙头 战略转型取得显著成果,2022-10-21,2026-08-19,海通国际证券集团有限公司,刘威/梁爽,{},https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/719676843806/index.phtml
瑞丰新材(300910)：Q3业绩续造新高 高端化转型助力量价齐升,2022-10-19,2026-08-19,长江证券股份有限公司,马太/叶家宏,"{""归母净利润(亿元)"": {""2022"": 6.1, ""2023"": 11.3, ""2024"": 14.1}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/719537556018/index.phtml
瑞丰新材(300910)：原油下滑成本改善 复合剂转型超预期,2022-10-19,2026-08-19,国泰海通证券股份有限公司,孙羲昱/李旋坤,"{""EPS(元)"": {""2022"": 3.76, ""2023"": 6.08, ""2024"": 8.41}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/719534642169/index.phtml
瑞丰新材(300910)：22Q3业绩超预期 净利润环比增长130%,2022-10-19,2026-08-19,广发证券股份有限公司,邓先河/吴鑫然/郭齐坤,"{""归母净利润(亿元)"": {""2022"": 6.04, ""2023"": 9.91, ""2024"": 14.05}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/719527750480/index.phtml
瑞丰新材(300910)：Q3业绩放量创新高 转型初见成效,2022-10-19,2026-08-19,国投证券股份有限公司,张汪强/乔璐,"{""净利润(亿元)"": {""2022"": 5.9, ""2023"": 8.5, ""2024"": 10.5}, ""PE(倍)"": {""2022"": 33.0, ""2023"": 23.0, ""2024"": 19.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/719488583374/index.phtml
瑞丰新材(300910)：业绩迎来爆发 未来发展空间巨大,2022-10-19,2026-08-19,招商证券股份有限公司,周铮/曹承安,"{""归母净利润(亿元)"": {""2022"": 6.01, ""2023"": 10.42, ""2024"": 14.86}, ""EPS(元)"": {""2022"": 4.0, ""2023"": 6.95, ""2024"": 9.9}, ""PE(倍)"": {""2022"": 33.0, ""2023"": 19.0, ""2024"": 13.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/719487046556/index.phtml
瑞丰新材(300910)：Q2业绩创造新高 持续向高端化转型,2022-09-04,2026-08-19,长江证券股份有限公司,马太/叶家宏,"{""归母净利润(亿元)"": {""2022"": 3.6, ""2023"": 5.7, ""2024"": 7.6}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/715610002840/index.phtml
瑞丰新材(300910)：22Q2业绩超预期 基本面拐点已显现,2022-08-31,2026-08-19,广发证券股份有限公司,邓先河/吴鑫然/郭齐坤,"{""EPS(元)"": {""2022"": 2.49, ""2023"": 3.93, ""2024"": 5.55}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/715278689567/index.phtml
瑞丰新材(300910)：22Q2业绩创历史新高 复合剂放量提速中,2022-08-29,2026-08-19,国泰海通证券股份有限公司,段海峰/李旋坤,"{""EPS(元)"": {""2022"": 2.54, ""2023"": 4.39, ""2024"": 5.81}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/715088198946/index.phtml
瑞丰新材(300910)：业绩拐点确认 即将迎来加速成长期,2022-08-26,2026-08-19,招商证券股份有限公司,周铮/曹承安,"{""归母净利润(亿元)"": {""2022"": 4.01, ""2023"": 6.58, ""2024"": 9.04}, ""EPS(元)"": {""2022"": 2.67, ""2023"": 4.39, ""2024"": 6.03}, ""PE(倍)"": {""2022"": 32.0, ""2023"": 19.0, ""2024"": 14.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/714826410232/index.phtml
瑞丰新材(300910)：Q2创单季度新高 通过APISP认...,2022-08-26,2026-08-19,国投证券股份有限公司,张汪强/乔璐,"{""净利润(亿元)"": {""2022"": 3.5, ""2023"": 4.5, ""2024"": 6.0}, ""PE(倍)"": {""2022"": 36.0, ""2023"": 28.0, ""2024"": 21.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/714825749077/index.phtml
瑞丰新材(300910)：国产替代蓄势待发 润滑油添加剂龙头...,2022-07-21,2026-08-19,长江证券股份有限公司,马太/叶家宏,"{""归母净利润(亿元)"": {""2022"": 2.6, ""2023"": 3.4, ""2024"": 4.9}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/711710806054/index.phtml
瑞丰新材(300910)：国内润滑油添加剂龙头 迎来快速成长新阶段,2022-07-06,2026-08-19,招商证券股份有限公司,周铮/曹承安/赵晨曦/连莹,"{""归母净利润(亿元)"": {""2022"": 2.69, ""2023"": 4.04, ""2024"": 5.98}, ""EPS(元)"": {""2022"": 1.79, ""2023"": 2.69, ""2024"": 3.99}, ""PE(倍)"": {""2022"": 34.0, ""2023"": 23.0, ""2024"": 15.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/710445445004/index.phtml
瑞丰新材(300910)：原材料短期有压力 复合剂持续放量中,2022-04-22,2026-08-19,国泰海通证券股份有限公司,段海峰/李旋坤,"{""EPS(元)"": {""2022"": 1.53, ""2023"": 2.62, ""2024"": 3.64}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/703969123978/index.phtml
瑞丰新材(300910)2021年年报点评：单剂向复合剂转型...,2022-04-13,2026-08-19,国泰海通证券股份有限公司,段海峰/李旋坤,"{""EPS(元)"": {""2022"": 1.77, ""2023"": 3.21, ""2024"": 4.61}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/703159601591/index.phtml
瑞丰新材(300910)：21年业绩符合预期 复合剂销售逐步放量,2022-04-13,2026-08-19,广发证券股份有限公司,何雄/邓先河,"{""EPS(元)"": {""2022"": 1.73, ""2023"": 2.74}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/703145981299/index.phtml
瑞丰新材(300910)：Q3业绩略低于预期 远期成长逻辑未变,2021-10-29,2026-08-19,广发证券股份有限公司,何雄/邓先河/吴鑫然,"{""EPS(元)"": {""2021"": 1.58, ""2022"": 2.43, ""2023"": 3.51}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/688806099555/index.phtml
瑞丰新材(300910)：润滑油添加剂龙头 技术优势持续增强,2021-09-01,2026-08-19,国投证券股份有限公司,张汪强,"{""净利润(亿元)"": {""2021"": 2.81, ""2022"": 4.31, ""2023"": 6.14}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/683812595230/index.phtml
瑞丰新材(300910)：API认证顺利推进 战略转型下未来可期,2021-08-26,2026-08-19,西南证券股份有限公司,沈猛,"{""EPS(元)"": {""2021"": 2.04, ""2022"": 2.54, ""2023"": 3.41}, ""PE(X)"": {""2021"": 48.0, ""2022"": 39.0, ""2023"": 29.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/683294869290/index.phtml
瑞丰新材(300910)：阵痛不改趋势 国产替代在途,2021-08-24,2026-08-19,国泰海通证券股份有限公司,段海峰/沈唯,"{""EPS(元)"": {""2021"": 1.63, ""2022"": 2.45, ""2023"": 3.64}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/683132358089/index.phtml
瑞丰新材(300910)：汽油复合剂通过API认证 未来可期,2021-06-16,2026-08-19,国泰海通证券股份有限公司,段海峰,"{""EPS(元)"": {""2021"": 2.44, ""2022"": 3.29, ""2023"": 4.44}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/677157109733/index.phtml
瑞丰新材(300910)：APISN认证通过 主流市场突破在即,2021-06-15,2026-08-19,国投证券股份有限公司,张汪强/乔璐,"{""净利润(亿元)"": {""2021"": 3.5, ""2022"": 4.6, ""2023"": 6.0}, ""PE(倍)"": {""2021"": 49.0, ""2022"": 38.0, ""2023"": 29.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/677060945522/index.phtml
瑞丰新材(300910)：一季度归母同比+120.2% 年内...,2021-04-26,2026-08-19,西南证券股份有限公司,沈猛,"{""EPS(元)"": {""2021"": 2.04, ""2022"": 2.54, ""2023"": 3.41}, ""PE(X)"": {""2021"": 46.0, ""2022"": 37.0, ""2023"": 28.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/672773793358/index.phtml
瑞丰新材(300910)：21Q1业绩同比大幅增长 盈利能力持续提升,2021-04-26,2026-08-19,广发证券股份有限公司,何雄/吴鑫然,"{""EPS(元)"": {""2021"": 2.22, ""2022"": 3.38}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/672759832568/index.phtml
瑞丰新材(300910)：业绩符合预期 看好未来成长,2021-04-26,2026-08-19,国金证券股份有限公司,杨翼荥,"{""归母净利润(亿元)"": {""2021"": 3.3, ""2022"": 4.8, ""2023"": 5.9}, ""EPS(元)"": {""2021"": 2.2, ""2022"": 3.2, ""2023"": 3.9}, ""PE(X)"": {""2021"": 42.7, ""2022"": 29.6, ""2023"": 24.2}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/672744095784/index.phtml
瑞丰新材(300910)：业绩符合预期 技术助力未来发展,2021-04-25,2026-08-19,国投证券股份有限公司,张汪强,"{""净利润(亿元)"": {""2021"": 3.48, ""2022"": 4.58, ""2023"": 6.39}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/672705107094/index.phtml
瑞丰新材(300910)：润滑油添加剂龙头企业 成长确定性强,2021-04-15,2026-08-19,西南证券股份有限公司,沈猛,"{""EPS(元)"": {""2021"": 2.04, ""2022"": 2.54, ""2023"": 3.41}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/671761719140/index.phtml
瑞丰新材(300910)：业绩符合预期 未来成长可期,2021-04-12,2026-08-19,国投证券股份有限公司,张汪强,"{""净利润(亿元)"": {""2021"": 3.48, ""2022"": 4.58, ""2023"": 6.39}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/671557625173/index.phtml
瑞丰新材(300910)：业绩持续高速增长 对标雅富顿 未来成长可期,2021-04-12,2026-08-19,广发证券股份有限公司,何雄/吴鑫然,"{""EPS(元)"": {""2021"": 2.22, ""2022"": 3.38}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/671545471683/index.phtml
瑞丰新材(300910)：国产替代 进击高端,2021-04-10,2026-08-19,国泰海通证券股份有限公司,段海峰,"{""EPS(元)"": {""2020"": 1.27, ""2021"": 2.44, ""2022"": 3.29}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/671385075482/index.phtml
瑞丰新材(300910)：未来对标雅富顿 国内龙头走向世界,2021-04-05,2026-08-19,国投证券股份有限公司,张汪强/乔璐,"{""EPS(亿)"": {""2021"": 3.5, ""2022"": 4.5}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/670965972666/index.phtml
瑞丰新材(300910)：单剂业务快速上量 复剂承载产业重任,2021-03-17,2026-08-19,东吴证券股份有限公司,柴沁虎,"{""营业收入(亿元)"": {""2020"": 8.72, ""2021"": 12.62, ""2022"": 18.23}, ""归母净利润(亿元)"": {""2020"": 1.9, ""2021"": 2.74, ""2022"": 3.76}, ""EPS(元)"": {""2020"": 1.27, ""2021"": 1.82, ""2022"": 2.51}, ""PE(X)"": {""2020"": 52.0, ""2021"": 36.0, ""2022"": 26.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/669290833077/index.phtml
瑞丰新材(300910)：进口替代叠加产能驱动 润滑油添加剂...,2021-03-16,2026-08-19,广发证券股份有限公司,何雄/吴鑫然,"{""EPS(元)"": {""2020"": 1.25, ""2021"": 2.02, ""2022"": 2.84}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/669222788082/index.phtml
瑞丰新材(300910)：润滑油添加剂国内龙头 千亿市场国产...,2021-03-12,2026-08-19,国盛证券有限责任公司,王席鑫/孙琦祥/罗雅婷,"{""归母净利润(亿元)"": {""2020"": 1.86, ""2021"": 3.02, ""2022"": 4.05}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/668864405078/index.phtml
瑞丰新材(300910)公司研究报告：国内润滑油添加剂、无碳...,2021-02-17,2026-08-19,海通证券股份有限公司,刘威/李智,"{""归母净利润(亿元)"": {""2020"": 1.91, ""2021"": 2.79, ""2022"": 3.79}, ""EPS(元)"": {""2020"": 1.28, ""2021"": 1.86, ""2022"": 2.52}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/666842068155/index.phtml
瑞丰新材(300910)：业绩符合预期 进口替代加快,2021-01-19,2026-08-19,国投证券股份有限公司,张汪强,"{""净利润(亿元)"": {""2020"": 1.9, ""2021"": 3.4, ""2022"": 4.31}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/664372708165/index.phtml
瑞丰新材(300910)：润滑油添加剂龙头 产能扩张驱动成长,2021-01-04,2026-08-19,国金证券股份有限公司,杨翼荥,"{""归母净利润(亿元)"": {""2020"": 2.0, ""2021"": 2.9, ""2022"": 3.8}, ""EPS(元)"": {""2020"": 1.4, ""2021"": 1.9, ""2022"": 2.6}, ""PE(X)"": {""2020"": 46.5, ""2021"": 33.2, ""2022"": 24.8}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/663067707550/index.phtml
